URL: /heroes, Method: GET, Timestamp: 2025-01-20T09:59:40.258Z
URL: /update/villain/1, Method: GET, Timestamp: 2025-01-20T10:00:37.010Z
URL: /update/villain/1, Method: PATCH, Timestamp: 2025-01-20T10:00:57.719Z
URL: /update/villain/1, Method: PATCH, Timestamp: 2025-01-20T10:02:10.086Z
URL: /update/villain/6, Method: PATCH, Timestamp: 2025-01-20T10:05:59.335Z
URL: /update/villain/5, Method: PATCH, Timestamp: 2025-01-20T10:06:01.666Z
URL: /update/villain/5, Method: PATCH, Timestamp: 2025-01-20T10:06:06.246Z
URL: /update/villain/6, Method: PATCH, Timestamp: 2025-01-20T10:06:33.081Z
URL: /update/villain/6, Method: PATCH, Timestamp: 2025-01-20T10:09:55.357Z
URL: /update/villain/4, Method: PATCH, Timestamp: 2025-01-20T10:09:58.377Z
URL: /update/villain/, Method: PATCH, Timestamp: 2025-01-20T10:09:59.975Z
URL: /update/villain/1, Method: PATCH, Timestamp: 2025-01-20T10:10:01.986Z
URL: /delete/hero/1, Method: PATCH, Timestamp: 2025-01-20T10:10:22.453Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:10:30.666Z
URL: /delete/hero/1?role=saveEarth, Method: DELETE, Timestamp: 2025-01-20T10:15:32.027Z
URL: /delete/hero/1?role=admin, Method: DELETE, Timestamp: 2025-01-20T10:16:06.479Z
URL: /delete/hero/1?pass=saveEarth, Method: DELETE, Timestamp: 2025-01-20T10:16:32.262Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:19:04.612Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:19:44.208Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:19:51.241Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:21:32.891Z
URL: /delete/hero/6, Method: DELETE, Timestamp: 2025-01-20T10:22:21.907Z
URL: /delete/hero/6, Method: DELETE, Timestamp: 2025-01-20T10:22:22.931Z
URL: /delete/hero/6, Method: DELETE, Timestamp: 2025-01-20T10:22:23.697Z
URL: /delete/hero/4, Method: DELETE, Timestamp: 2025-01-20T10:22:25.904Z
URL: /delete/hero/13, Method: DELETE, Timestamp: 2025-01-20T10:22:40.404Z
URL: /delete/hero/, Method: DELETE, Timestamp: 2025-01-20T10:22:43.198Z
URL: /delete/hero/2, Method: DELETE, Timestamp: 2025-01-20T10:22:45.350Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:23:05.066Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:25:18.841Z
URL: /delete/hero/1, Method: DELETE, Timestamp: 2025-01-20T10:25:35.851Z
